obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
i_ajuntament,1,5,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_autannes,1,5,870,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_bologna,1,5,410,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_books,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_boutique,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_bridger,1,5,700,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_brooklyn,1,5,820,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_castle,1,5,470,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_chestnuts,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_crownday,1,5,1037,1382,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_dome,1,5,905,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_duda,1,5,708,1064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fenis,1,5,410,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fog,1,5,380,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_fruits,1,5,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_gonnenberg,1,5,385,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_greenhouse,1,5,460,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_greentea,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_indiana,1,5,700,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_kions,1,5,460,704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_ktirio,1,5,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_kurhaus,1,5,840,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_leuven,1,5,614,921,0.982693612575531,-0.020091097801923752,1.1295076608657837,-0.005674994550645351,0.9703162908554077,38.27303695678711,-6.045069653737301e-07,-5.378575951908715e-05,1.0
i_lionday,1,5,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_lionnight,1,5,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_londonbridge,1,5,979,1478,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_melon,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_miniature,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nescafe,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nijmegen,1,5,940,1280,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_nuts,1,5,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_objects,1,5,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_parking,1,5,420,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_partyfood,1,5,708,1064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pencils,1,5,1142,1725,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pinard,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_pool,1,5,600,950,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_porta,1,5,460,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_resort,1,5,738,1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_salon,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_santuario,1,5,600,950,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_school,1,5,480,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_ski,1,5,470,640,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_smurf,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_steps,1,5,653,986,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_table,1,5,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_tools,1,5,816,1232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_toy,1,5,512,512,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_troulos,1,5,460,704,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_veggies,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_village,1,5,460,520,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_yellowtent,1,5,600,800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
i_zion,1,5,738,1024,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
